id,latitude,longitude,cp,pop,adresse,ville,horaires,services,prix,geom,gazole_maj,gazole_prix,sp95_maj,sp95_prix,e85_maj,e85_prix,gplc_maj,gplc_prix,e10_maj,e10_prix,sp98_maj,sp98_prix,carburants_disponibles,carburants_indisponibles,horaires_automate_24_24,services_service,departement,code_departement,region,code_region
6110002,4357174.237,701624.364,06110,R,Boulevard Carnot,Le Cannet,,"{""service"": [""Toilettes publiques"", ""Boutique alimentaire"", ""Boutique non alimentaire"", ""Restauration à emporter"", ""Station de gonflage"", ""Carburant additivé"", ""Lavage automatique"", ""Vente de gaz domestique (Butane, Propane)""]}","[{""@nom"": ""Gazole"", ""@id"": ""1"", ""@maj"": ""2023-11-14 08:18:14"", ""@valeur"": ""1.829""}, {""@nom"": ""E10"", ""@id"": ""5"", ""@maj"": ""2023-11-14 08:18:14"", ""@valeur"": ""1.835""}, {""@nom"": ""SP98"", ""@id"": ""6"", ""@maj"": ""2023-11-14 08:18:14"", ""@valeur"": ""1.934""}]","{'lon': 7.016243639999999, 'lat': 43.571742369999996}",2023-11-14 08:18:14,1.829,,,,,,,2023-11-14 08:18:14,1.835,2023-11-14 08:18:14,1.934,"['Gazole', 'E10', 'SP98']","['SP95', 'E85', 'GPLc']",Non,"['Toilettes publiques', 'Boutique alimentaire', 'Boutique non alimentaire', 'Restauration à emporter', 'Station de gonflage', 'Carburant additivé', 'Lavage automatique', 'Vente de gaz domestique (Butane, Propane)']",Alpes-Maritimes,06,Provence-Alpes-Côte d'Azur,93
44000009,4720393,-154657.0,44200,R,16 BD DES MARTYRS NANTAIS,Nantes,,"{""service"": [""Toilettes publiques"", ""Boutique alimentaire"", ""Boutique non alimentaire"", ""Station de gonflage"", ""Piste poids lourds"", ""Lavage manuel"", ""Vente de gaz domestique (Butane, Propane)""]}","[{""@nom"": ""Gazole"", ""@id"": ""1"", ""@maj"": ""2023-11-21 00:01:00"", ""@valeur"": ""1.849""}, {""@nom"": ""E10"", ""@id"": ""5"", ""@maj"": ""2023-11-21 00:01:00"", ""@valeur"": ""1.881""}, {""@nom"": ""SP98"", ""@id"": ""6"", ""@maj"": ""2023-11-21 00:01:00"", ""@valeur"": ""1.990""}]","{'lon': -1.54657, 'lat': 47.20393}",2023-11-21 00:01:00,1.849,,,,,,,2023-11-21 00:01:00,1.881,2023-11-21 00:01:00,1.990,"['Gazole', 'E10', 'SP98']","['SP95', 'E85', 'GPLc']",Non,"['Toilettes publiques', 'Boutique alimentaire', 'Boutique non alimentaire', 'Station de gonflage', 'Piste poids lourds', 'Lavage manuel', 'Vente de gaz domestique (Butane, Propane)']",Loire-Atlantique,44,Pays de la Loire,52
88340001,4792800,648300.0,88340,R,22 ZA DU CENTRE,Le Val-d'Ajol,"{""@automate-24-24"": ""1"", ""jour"": [{""@id"": ""1"", ""@nom"": ""Lundi"", ""@ferme"": """", ""horaire"": {""@ouverture"": ""00.00"", ""@fermeture"": ""23.00""}}, {""@id"": ""2"", ""@nom"": ""Mardi"", ""@ferme"": """", ""horaire"": {""@ouverture"": ""00.00"", ""@fermeture"": ""23.00""}}, {""@id"": ""3"", ""@nom"": ""Mercredi"", ""@ferme"": """", ""horaire"": {""@ouverture"": ""00.00"", ""@fermeture"": ""23.00""}}, {""@id"": ""4"", ""@nom"": ""Jeudi"", ""@ferme"": """", ""horaire"": {""@ouverture"": ""08.30"", ""@fermeture"": ""12.00""}}, {""@id"": ""5"", ""@nom"": ""Vendredi"", ""@ferme"": """", ""horaire"": {""@ouverture"": ""08.30"", ""@fermeture"": ""12.00""}}, {""@id"": ""6"", ""@nom"": ""Samedi"", ""@ferme"": """", ""horaire"": {""@ouverture"": ""08.30"", ""@fermeture"": ""12.30""}}, {""@id"": ""7"", ""@nom"": ""Dimanche"", ""@ferme"": """", ""horaire"": {""@ouverture"": ""00.00"", ""@fermeture"": ""23.00""}}]}","{""service"": [""Laverie"", ""Relais colis"", ""Station de gonflage"", ""Piste poids lourds"", ""Vente de gaz domestique (Butane, Propane)"", ""Automate CB 24/24""]}","[{""@nom"": ""Gazole"", ""@id"": ""1"", ""@maj"": ""2023-11-13 13:38:46"", ""@valeur"": ""1.799""}, {""@nom"": ""E10"", ""@id"": ""5"", ""@maj"": ""2023-11-13 13:38:46"", ""@valeur"": ""1.819""}, {""@nom"": ""SP98"", ""@id"": ""6"", ""@maj"": ""2023-11-13 13:38:47"", ""@valeur"": ""1.899""}]","{'lon': 6.483, 'lat': 47.928}",2023-11-13 13:38:46,1.799,,,,,,,2023-11-13 13:38:46,1.819,2023-11-13 13:38:47,1.899,"['Gazole', 'E10', 'SP98']","['SP95', 'E85', 'GPLc']",Oui,"['Laverie', 'Relais colis', 'Station de gonflage', 'Piste poids lourds', 'Vente de gaz domestique (Butane, Propane)', 'Automate CB 24/24']",Vosges,88,Grand Est,44
20230003,4240000,953000.0,20230,R,STATION LUISI,Poggio-Mezzana,"{""@automate-24-24"": ""1"", ""jour"": [{""@id"": ""1"", ""@nom"": ""Lundi"", ""@ferme"": """", ""horaire"": {""@ouverture"": ""06.00"", ""@fermeture"": ""20.00""}}, {""@id"": ""2"", ""@nom"": ""Mardi"", ""@ferme"": """", ""horaire"": {""@ouverture"": ""06.00"", ""@fermeture"": ""20.00""}}, {""@id"": ""3"", ""@nom"": ""Mercredi"", ""@ferme"": """", ""horaire"": {""@ouverture"": ""06.00"", ""@fermeture"": ""20.00""}}, {""@id"": ""4"", ""@nom"": ""Jeudi"", ""@ferme"": """", ""horaire"": {""@ouverture"": ""06.00"", ""@fermeture"": ""20.00""}}, {""@id"": ""5"", ""@nom"": ""Vendredi"", ""@ferme"": """", ""horaire"": {""@ouverture"": ""06.00"", ""@fermeture"": ""20.00""}}, {""@id"": ""6"", ""@nom"": ""Samedi"", ""@ferme"": """", ""horaire"": {""@ouverture"": ""06.00"", ""@fermeture"": ""20.00""}}, {""@id"": ""7"", ""@nom"": ""Dimanche"", ""@ferme"": """", ""horaire"": [{""@ouverture"": ""07.00"", ""@fermeture"": ""12.00""}, {""@ouverture"": ""14.00"", ""@fermeture"": ""20.00""}]}]}","{""service"": [""Boutique alimentaire"", ""Boutique non alimentaire"", ""Restauration à emporter"", ""Vente de fioul domestique"", ""Vente de pétrole lampant"", ""Station de gonflage"", ""Piste poids lourds"", ""Lavage automatique"", ""Lavage manuel"", ""Services réparation / entretien"", ""Vente de gaz domestique (Butane, Propane)"", ""Vente d'additifs carburants"", ""Automate CB 24/24"", ""DAB (Distributeur automatique de billets)""]}","[{""@nom"": ""Gazole"", ""@id"": ""1"", ""@maj"": ""2023-02-08 07:51:18"", ""@valeur"": ""1.880""}, {""@nom"": ""SP95"", ""@id"": ""2"", ""@maj"": ""2023-02-08 07:51:18"", ""@valeur"": ""1.910""}]","{'lon': 9.53, 'lat': 42.4}",2023-02-08 07:51:18,1.880,2023-02-08 07:51:18,1.910,,,,,,,,,"['Gazole', 'SP95']","['E85', 'GPLc', 'E10', 'SP98']",Oui,"['Boutique alimentaire', 'Boutique non alimentaire', 'Restauration à emporter', 'Vente de fioul domestique', 'Vente de pétrole lampant', 'Station de gonflage', 'Piste poids lourds', 'Lavage automatique', 'Lavage manuel', 'Services réparation / entretien', 'Vente de gaz domestique (Butane, Propane)', ""Vente d'additifs carburants"", 'Automate CB 24/24', 'DAB (Distributeur automatique de billets)']",Haute-Corse,2B,Corse,94
50110006,4965345.9148478,-154932.46887909,50110,R,2F Route de DENNEVILLE,Cherbourg-en-Cotentin,"{""@automate-24-24"": """", ""jour"": [{""@id"": ""1"", ""@nom"": ""Lundi"", ""@ferme"": """", ""horaire"": {""@ouverture"": ""00.00"", ""@fermeture"": ""23.59""}}, {""@id"": ""2"", ""@nom"": ""Mardi"", ""@ferme"": """", ""horaire"": {""@ouverture"": ""00.00"", ""@fermeture"": ""23.59""}}, {""@id"": ""3"", ""@nom"": ""Mercredi"", ""@ferme"": """", ""horaire"": {""@ouverture"": ""00.00"", ""@fermeture"": ""23.59""}}, {""@id"": ""4"", ""@nom"": ""Jeudi"", ""@ferme"": """", ""horaire"": {""@ouverture"": ""00.00"", ""@fermeture"": ""23.59""}}, {""@id"": ""5"", ""@nom"": ""Vendredi"", ""@ferme"": """", ""horaire"": {""@ouverture"": ""00.00"", ""@fermeture"": ""23.59""}}, {""@id"": ""6"", ""@nom"": ""Samedi"", ""@ferme"": """", ""horaire"": {""@ouverture"": ""00.00"", ""@fermeture"": ""23.59""}}, {""@id"": ""7"", ""@nom"": ""Dimanche"", ""@ferme"": """", ""horaire"": {""@ouverture"": ""00.00"", ""@fermeture"": ""23.59""}}]}","{""service"": [""Restauration à emporter"", ""Vente de gaz domestique (Butane, Propane)""]}","[{""@nom"": ""Gazole"", ""@id"": ""1"", ""@maj"": ""2023-11-16 10:16:50"", ""@valeur"": ""1.800""}, {""@nom"": ""SP95"", ""@id"": ""2"", ""@maj"": ""2023-11-16 10:16:50"", ""@valeur"": ""1.860""}, {""@nom"": ""SP98"", ""@id"": ""6"", ""@maj"": ""2023-11-15 08:30:03"", ""@valeur"": ""1.900""}]","{'lon': -1.5493246887909, 'lat': 49.65345914847799}",2023-11-16 10:16:50,1.800,2023-11-16 10:16:50,1.860,,,,,,,2023-11-15 08:30:03,1.900,"['Gazole', 'SP95', 'SP98']","['E85', 'GPLc', 'E10']",Non,"['Restauration à emporter', 'Vente de gaz domestique (Butane, Propane)']",Manche,50,Normandie,28
56530001,4779000,-342100.0,56530,R,Place Pierre Quinio,Quéven,"{""@automate-24-24"": ""1"", ""jour"": [{""@id"": ""1"", ""@nom"": ""Lundi"", ""@ferme"": """"}, {""@id"": ""2"", ""@nom"": ""Mardi"", ""@ferme"": """"}, {""@id"": ""3"", ""@nom"": ""Mercredi"", ""@ferme"": """"}, {""@id"": ""4"", ""@nom"": ""Jeudi"", ""@ferme"": """"}, {""@id"": ""5"", ""@nom"": ""Vendredi"", ""@ferme"": """"}, {""@id"": ""6"", ""@nom"": ""Samedi"", ""@ferme"": """"}, {""@id"": ""7"", ""@nom"": ""Dimanche"", ""@ferme"": """"}]}","{""service"": [""Toilettes publiques"", ""Laverie"", ""Relais colis"", ""Boutique alimentaire"", ""Boutique non alimentaire"", ""Restauration sur place"", ""Location de véhicule"", ""Vente de gaz domestique (Butane, Propane)"", ""Bornes électriques"", ""Wifi"", ""Automate CB 24/24"", ""DAB (Distributeur automatique de billets)""]}","[{""@nom"": ""Gazole"", ""@id"": ""1"", ""@maj"": ""2023-11-18 08:19:42"", ""@valeur"": ""1.728""}, {""@nom"": ""E10"", ""@id"": ""5"", ""@maj"": ""2023-11-18 09:58:23"", ""@valeur"": ""1.725""}, {""@nom"": ""SP98"", ""@id"": ""6"", ""@maj"": ""2023-11-17 07:12:35"", ""@valeur"": ""1.825""}]","{'lon': -3.421, 'lat': 47.79}",2023-11-18 08:19:42,1.728,,,,,,,2023-11-18 09:58:23,1.725,2023-11-17 07:12:35,1.825,"['Gazole', 'E10', 'SP98']","['SP95', 'E85', 'GPLc']",Oui,"['Toilettes publiques', 'Laverie', 'Relais colis', 'Boutique alimentaire', 'Boutique non alimentaire', 'Restauration sur place', 'Location de véhicule', 'Vente de gaz domestique (Butane, Propane)', 'Bornes électriques', 'Wifi', 'Automate CB 24/24', 'DAB (Distributeur automatique de billets)']",Morbihan,56,Bretagne,53
81370002,4376664,169252.0,81370,R,102 Route de Lavaur,Saint-Sulpice-la-Pointe,"{""@automate-24-24"": """", ""jour"": [{""@id"": ""1"", ""@nom"": ""Lundi"", ""@ferme"": """"}, {""@id"": ""2"", ""@nom"": ""Mardi"", ""@ferme"": """"}, {""@id"": ""3"", ""@nom"": ""Mercredi"", ""@ferme"": """"}, {""@id"": ""4"", ""@nom"": ""Jeudi"", ""@ferme"": """"}, {""@id"": ""5"", ""@nom"": ""Vendredi"", ""@ferme"": """"}, {""@id"": ""6"", ""@nom"": ""Samedi"", ""@ferme"": """"}, {""@id"": ""7"", ""@nom"": ""Dimanche"", ""@ferme"": """"}]}","{""service"": [""Toilettes publiques"", ""Station de gonflage"", ""Location de véhicule"", ""Lavage manuel"", ""Vente de gaz domestique (Butane, Propane)""]}","[{""@nom"": ""Gazole"", ""@id"": ""1"", ""@maj"": ""2023-09-22 14:07:28"", ""@valeur"": ""1.990""}, {""@nom"": ""SP95"", ""@id"": ""2"", ""@maj"": ""2023-09-22 14:07:28"", ""@valeur"": ""1.990""}]","{'lon': 1.69252, 'lat': 43.76664}",2023-09-22 14:07:28,1.990,2023-09-22 14:07:28,1.990,,,,,,,,,"['Gazole', 'SP95']","['E85', 'GPLc', 'E10', 'SP98']",Non,"['Toilettes publiques', 'Station de gonflage', 'Location de véhicule', 'Lavage manuel', 'Vente de gaz domestique (Butane, Propane)']",Tarn,81,Occitanie,76
59197001,5011800,394500.0,59440,R,route de Trélon,Avesnelles,,"{""service"": ""Piste poids lourds""}","[{""@nom"": ""Gazole"", ""@id"": ""1"", ""@maj"": ""2023-11-21 07:21:44"", ""@valeur"": ""1.835""}, {""@nom"": ""E10"", ""@id"": ""5"", ""@maj"": ""2023-11-21 07:21:45"", ""@valeur"": ""1.814""}, {""@nom"": ""SP98"", ""@id"": ""6"", ""@maj"": ""2023-11-21 07:21:45"", ""@valeur"": ""1.892""}]","{'lon': 3.945, 'lat': 50.118}",2023-11-21 07:21:44,1.835,,,,,,,2023-11-21 07:21:45,1.814,2023-11-21 07:21:45,1.892,"['Gazole', 'E10', 'SP98']","['SP95', 'E85', 'GPLc']",Non,['Piste poids lourds'],Nord,59,Hauts-de-France,32
51360001,4917360,418370.0,51360,R,14 ROUTE NATIONALE,Beaumont-sur-Vesle,,"{""service"": [""Boutique alimentaire"", ""Boutique non alimentaire"", ""Vente de fioul domestique"", ""Station de gonflage"", ""Carburant additivé"", ""Piste poids lourds"", ""Lavage automatique"", ""Lavage manuel"", ""Services réparation / entretien"", ""DAB (Distributeur automatique de billets)""]}","[{""@nom"": ""Gazole"", ""@id"": ""1"", ""@maj"": ""2023-11-17 07:10:43"", ""@valeur"": ""1.889""}, {""@nom"": ""E10"", ""@id"": ""5"", ""@maj"": ""2023-11-17 07:10:43"", ""@valeur"": ""1.887""}]","{'lon': 4.1837, 'lat': 49.1736}",2023-11-17 07:10:43,1.889,,,,,,,2023-11-17 07:10:43,1.887,,,"['Gazole', 'E10']","['SP95', 'E85', 'GPLc', 'SP98']",Non,"['Boutique alimentaire', 'Boutique non alimentaire', 'Vente de fioul domestique', 'Station de gonflage', 'Carburant additivé', 'Piste poids lourds', 'Lavage automatique', 'Lavage manuel', 'Services réparation / entretien', 'DAB (Distributeur automatique de billets)']",Marne,51,Grand Est,44
69110003,4574200,479800.0,69110,R,28 Avenue Maurice JARROSSON,Sainte-Foy-lès-Lyon,"{""@automate-24-24"": """", ""jour"": [{""@id"": ""1"", ""@nom"": ""Lundi"", ""@ferme"": """"}, {""@id"": ""2"", ""@nom"": ""Mardi"", ""@ferme"": """"}, {""@id"": ""3"", ""@nom"": ""Mercredi"", ""@ferme"": """"}, {""@id"": ""4"", ""@nom"": ""Jeudi"", ""@ferme"": """"}, {""@id"": ""5"", ""@nom"": ""Vendredi"", ""@ferme"": """"}, {""@id"": ""6"", ""@nom"": ""Samedi"", ""@ferme"": """"}, {""@id"": ""7"", ""@nom"": ""Dimanche"", ""@ferme"": """"}]}","{""service"": ""DAB (Distributeur automatique de billets)""}","[{""@nom"": ""Gazole"", ""@id"": ""1"", ""@maj"": ""2023-11-21 07:32:21"", ""@valeur"": ""1.809""}, {""@nom"": ""E10"", ""@id"": ""5"", ""@maj"": ""2023-11-21 07:32:22"", ""@valeur"": ""1.839""}, {""@nom"": ""SP98"", ""@id"": ""6"", ""@maj"": ""2023-11-21 07:32:22"", ""@valeur"": ""1.899""}]","{'lon': 4.798, 'lat': 45.742}",2023-11-21 07:32:21,1.809,,,,,,,2023-11-21 07:32:22,1.839,2023-11-21 07:32:22,1.899,"['Gazole', 'E10', 'SP98']","['SP95', 'E85', 'GPLc']",Non,['DAB (Distributeur automatique de billets)'],Rhône,69,Auvergne-Rhône-Alpes,84
